"POINT (121.4728904 30.9282457)",1,7
"POINT (121.3871919 31.1150538)",1,8
"POINT (120.6731714 31.2144344)",1,0
"POINT (120.9613169 31.2201525)",1,1
"POINT (121.3101525 31.0770198)",1,2
"POINT (121.5578243 31.1461793)",1,3
"POINT (121.5950909 31.2199112)",1,4
"POINT (121.572424 31.2033718)",1,5
"POINT (121.5348349 31.224277)",1,6
"POINT (121.5444811 31.2294975)",1,7
"POINT (121.544389 31.2298374)",1,8
"POINT (121.54422 31.229778)",1,0
"POINT (121.5443373 31.2294384)",1,1
"POINT (121.4723838 31.2222933)",1,2
"POINT (121.4728612 31.2220687)",1,3
"POINT (121.4741237 31.2220914)",1,4
"POINT (121.4691711 31.2238107)",1,5
"POINT (121.4703759 31.2242489)",1,6
"POINT (121.4756732 31.2219865)",1,7
"POINT (121.4781858 31.2207812)",1,8
"POINT (121.4774117 31.2226162)",1,0
"POINT (121.4853908 31.2237166)",1,1
"POINT (121.4855182 31.2237384)",1,2
"POINT (121.4854941 31.2238026)",1,3
"POINT (121.4853506 31.2237854)",1,4
"POINT (121.5825252 31.2481307)",1,5
"POINT (121.5663279 31.2683983)",1,6
"POINT (121.5699179 31.264234)",1,7
"POINT (121.5475075 31.2526792)",1,8
"POINT (121.5472459 31.2528104)",1,0
"POINT (121.5472819 31.2524905)",1,1
"POINT (121.547036 31.2526056)",1,2
"POINT (121.5376476 31.2469599)",1,3
"POINT (121.5375748 31.2467889)",1,4
"POINT (121.5198892 31.2428462)",1,5
"POINT (121.4061499 31.2191476)",1,6
"POINT (121.45892 31.2635242)",1,7
"POINT (121.5294326 31.2350985)",1,8
"POINT (121.4565175 31.2385593)",1,0
"POINT (121.4701267 31.2067524)",1,1
"POINT (121.4816693 31.2347746)",1,2
"POINT (121.4833498 31.2353017)",1,3
"POINT (121.484918 31.2358387)",1,4
"POINT (121.4730115 31.2145542)",1,5
"POINT (121.4824026 31.2320524)",1,6
"POINT (121.4106925 31.0660292)",1,7
"POINT (121.5864093 31.2383562)",1,8
"POINT (121.5845004 31.2372975)",1,0
"POINT (121.580496 31.2416285)",1,1
"POINT (121.5802811 31.2321537)",1,2
"POINT (121.5795518 31.2334892)",1,3
"POINT (121.5805986 31.2338306)",1,4
"POINT (121.5674627 31.2393154)",1,5
"POINT (121.485942 31.2459913)",1,6
"POINT (121.4857314 31.2460223)",1,7
"POINT (121.4860625 31.2459736)",1,8
"POINT (121.4857058 31.2392638)",1,0
"POINT (121.4906952 31.2318658)",1,1
"POINT (121.4954241 31.2274745)",1,2
"POINT (121.5022229 31.2170883)",1,3
"POINT (121.4908827 31.231971)",1,4
"POINT (121.490864 31.2317276)",1,5
"POINT (121.4886975 31.2340905)",1,6
"POINT (121.4885555 31.2339933)",1,7
"POINT (121.4857885 31.2426629)",1,8
"POINT (121.4827839 31.2414276)",1,0
"POINT (121.4832481 31.2404551)",1,1
"POINT (121.4814071 31.2453432)",1,2
"POINT (121.4840184 31.2385202)",1,3
"POINT (121.4844135 31.2372795)",1,4
"POINT (121.4805959 31.2437114)",1,5
"POINT (121.482294 31.24269)",1,6
"POINT (121.4810859 31.2425635)",1,7
"POINT (121.4829889 31.2427093)",1,8
"POINT (121.4829561 31.2448105)",1,0
"POINT (121.4816304 31.2446302)",1,1
"POINT (121.4811312 31.2471149)",1,2
"POINT (121.4580448 31.2257906)",1,3
"POINT (121.5875013 31.2515065)",1,4
"POINT (121.4341528 31.2063659)",1,5
"POINT (121.5529295 31.233506)",1,6
"POINT (121.5530549 31.2331751)",1,7
"POINT (121.4514836 31.1887826)",1,8
"POINT (121.4195743 31.1869076)",1,0
"POINT (121.426812 31.1960216)",1,1
"POINT (121.4277611 31.1941002)",1,2
"POINT (121.4318745 31.1844013)",1,3
"POINT (121.4374276 31.1972267)",1,4
"POINT (121.43517 31.1962044)",1,5
"POINT (121.4307842 31.1951758)",1,6
"POINT (121.4402444 31.1988912)",1,7
"POINT (121.4497733 31.2026054)",1,8
"POINT (121.4553392 31.2043556)",1,0
"POINT (121.440211 31.1992238)",1,1
"POINT (121.4432262 31.2005389)",1,2
"POINT (121.4503655 31.2031796)",1,3
"POINT (121.4557569 31.2048282)",1,4
"POINT (121.4562317 31.2049188)",1,5
"POINT (121.4620873 31.2068655)",1,6
"POINT (121.4430606 31.2008536)",1,7
"POINT (121.445824 31.2015842)",1,8
"POINT (121.4454758 31.2026827)",1,0
"POINT (121.5230811 31.2258593)",1,1
"POINT (121.5250588 31.2187694)",1,2
"POINT (121.4629477 31.2072186)",1,3
"POINT (121.4617401 31.2117114)",1,4
"POINT (121.4604706 31.2166922)",1,5
"POINT (121.4590121 31.222074)",1,6
"POINT (121.4585407 31.2281862)",1,7
"POINT (121.4546997 31.2320633)",1,8
"POINT (121.4538353 31.2333977)",1,0
"POINT (121.4557253 31.2376257)",1,1
"POINT (121.4491784 31.2476708)",1,2
"POINT (121.4528791 31.2431448)",1,3
"POINT (121.455494 31.2375447)",1,4
"POINT (121.4555408 31.237444)",1,5
"POINT (121.4490858 31.2478073)",1,6
"POINT (121.4489244 31.2477935)",1,7
"POINT (121.4481311 31.2476907)",1,8
"POINT (121.4592118 31.2579809)",1,0
"POINT (121.4585512 31.2958411)",1,1
"POINT (121.4739228 31.2776979)",1,2
"POINT (121.4785661 31.2846452)",1,3
"POINT (121.4633 31.2885066)",1,4
"POINT (121.4623626 31.2928665)",1,5
"POINT (121.4470097 31.2858099)",1,6
"POINT (121.4548514 31.2663071)",1,7
"POINT (121.5070024 31.2009676)",1,8
"POINT (121.5229532 31.2126663)",1,0
"POINT (121.5248688 31.2430819)",1,1
"POINT (121.5249992 31.2430126)",1,2
"POINT (121.5301995 31.2445059)",1,3
"POINT (121.5358585 31.2460784)",1,4
"POINT (121.5358033 31.2461842)",1,5
"POINT (121.5357587 31.2460409)",1,6
"POINT (121.5357042 31.2461465)",1,7
"POINT (121.5383857 31.2471734)",1,8
"POINT (121.5383325 31.2472612)",1,0
"POINT (121.5404892 31.2480508)",1,1
"POINT (121.5404302 31.2481311)",1,2
"POINT (121.5432771 31.2494408)",1,3
"POINT (121.5497156 31.255697)",1,4
"POINT (121.5496382 31.2556155)",1,5
"POINT (121.5498533 31.2554682)",1,6
"POINT (121.5515903 31.2572956)",1,7
"POINT (121.5514897 31.2574051)",1,8
"POINT (121.557088 31.2610903)",1,0
"POINT (121.5555711 31.263319)",1,1
"POINT (121.5571506 31.2609856)",1,2
"POINT (121.5797062 31.2449177)",1,3
"POINT (121.584467 31.2480221)",1,4
"POINT (121.5888407 31.2509067)",1,5
"POINT (121.5923098 31.2531612)",1,6
"POINT (121.5083264 31.2364885)",1,7
"POINT (121.5062936 31.2401055)",1,8
"POINT (121.5061629 31.2400481)",1,0
"POINT (121.5063635 31.2399925)",1,1
"POINT (121.5062341 31.2399354)",1,2
"POINT (121.5063897 31.2396812)",1,3
"POINT (121.5065162 31.2397377)",1,4
"POINT (121.5575625 31.2315789)",1,5
"POINT (121.5351247 31.209191)",1,6
"POINT (121.5316262 31.2050108)",1,7
"POINT (121.5341421 31.226169)",1,8
"POINT (121.5277387 31.2384273)",1,0
"POINT (121.5780947 31.2303278)",1,1
"POINT (121.6009958 31.2312353)",1,2
"POINT (121.6078762 31.234247)",1,3
"POINT (121.6598264 31.2451752)",1,4
"POINT (121.6698901 31.2496324)",1,5
"POINT (121.6608966 31.24447)",1,6
"POINT (121.6743096 31.24571)",1,7
"POINT (121.6594101 31.2316923)",1,8
"POINT (121.6594734 31.2313999)",1,0
"POINT (121.6595823 31.2314184)",1,1
"POINT (121.6595188 31.2317098)",1,2
"POINT (121.6944433 31.2389486)",1,3
"POINT (121.6991209 31.2397493)",1,4
"POINT (121.699 31.2400715)",1,5
"POINT (121.7120144 31.244078)",1,6
"POINT (121.4504035 31.2210916)",1,7
"POINT (121.4527631 31.2144923)",1,8
"POINT (121.4521557 31.2176685)",1,0
"POINT (121.4445652 31.2299485)",1,1
"POINT (121.4435047 31.2260589)",1,2
"POINT (121.4656952 31.2330554)",1,3
"POINT (121.5948411 31.2202784)",1,4
"POINT (121.6003861 31.2209808)",1,5
"POINT (121.600273 31.2213735)",1,6
"POINT (121.6365846 31.1571677)",1,7
